# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1318.3263	48602.38	0.8727	0.1110	4.5746e-15	5.8174e-16	5.2421e-15
1318.3562	48610.28	1.0283	0.1195	5.3892e-15	6.2630e-16	5.2408e-15
1318.3862	48618.19	1.0236	0.1197	5.3632e-15	6.2721e-16	5.2394e-15
1318.4161	48626.09	1.0880	0.1230	5.6989e-15	6.4451e-16	5.2381e-15
1318.4460	48633.99	0.9866	0.1190	5.1664e-15	6.2308e-16	5.2367e-15
1318.4759	48641.90	1.0756	0.1226	5.6313e-15	6.4202e-16	5.2354e-15
1318.5058	48649.80	0.8888	0.1116	4.6521e-15	5.8391e-16	5.2340e-15
1318.5357	48657.71	0.9740	0.1169	5.0966e-15	6.1169e-16	5.2326e-15
1318.5656	48665.61	1.0199	0.1207	5.3352e-15	6.3116e-16	5.2312e-15
1318.5955	48673.52	1.2266	0.1305	6.4146e-15	6.8244e-16	5.2298e-15
1318.6254	48681.42	0.8319	0.1083	4.3495e-15	5.6605e-16	5.2284e-15
1318.6553	48689.32	0.8860	0.1117	4.6310e-15	5.8374e-16	5.2270e-15
1318.6852	48697.23	0.9275	0.1141	4.8469e-15	5.9623e-16	5.2255e-15
1318.7152	48705.13	0.8692	0.1110	4.5407e-15	5.7970e-16	5.2241e-15
1318.7451	48713.04	0.8088	0.1065	4.2242e-15	5.5641e-16	5.2227e-15
1318.7750	48720.94	0.8283	0.1156	4.3248e-15	6.0369e-16	5.2212e-15
1318.8049	48728.85	0.9751	0.1175	5.0897e-15	6.1312e-16	5.2198e-15
1318.8348	48736.75	0.9348	0.1144	4.8783e-15	5.9698e-16	5.2183e-15
1318.8647	48744.65	1.0883	0.1239	5.6776e-15	6.4645e-16	5.2169e-15
1318.8946	48752.56	1.1108	0.1252	5.7930e-15	6.5272e-16	5.2154e-15
1318.9245	48760.46	0.9730	0.1168	5.0731e-15	6.0921e-16	5.2139e-15
1318.9544	48768.37	1.0529	0.1214	5.4880e-15	6.3257e-16	5.2124e-15
1318.9843	48776.27	0.8223	0.1076	4.2848e-15	5.6079e-16	5.2109e-15
1319.0143	48784.18	1.0352	0.1214	5.3926e-15	6.3239e-16	5.2094e-15
1319.0442	48792.08	0.9280	0.1152	4.8332e-15	6.0011e-16	5.2079e-15
1319.0741	48799.98	1.0199	0.1195	5.3102e-15	6.2195e-16	5.2064e-15
1319.1040	48807.89	0.8953	0.1135	4.6601e-15	5.9063e-16	5.2049e-15
1319.1339	48815.79	0.9954	0.1184	5.1796e-15	6.1625e-16	5.2034e-15
1319.1638	48823.70	1.0330	0.1203	5.3737e-15	6.2564e-16	5.2019e-15
1319.1937	48831.60	0.9549	0.1164	4.9657e-15	6.0509e-16	5.2003e-15
1319.2236	48839.51	0.8350	0.1086	4.3408e-15	5.6461e-16	5.1988e-15
